"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 15:43:47 GMT 2021","Wed Aug 18 15:43:47 GMT 2021","140","","TermsAndConditionsTest","","TermsAndConditionsTest","isTermsAndConditionsPageEmpty","Validating correct Terms and Conditions text test",""
"broken","Wed Aug 18 15:43:46 GMT 2021","Wed Aug 18 15:43:46 GMT 2021","172","","LoginPageTest","","LoginPageTest","logoutTest","Logout test after a successful registration test",""
"broken","Wed Aug 18 15:43:46 GMT 2021","Wed Aug 18 15:43:47 GMT 2021","168","","AccountsTest","","AccountsTest","addressChangeTest","Address change test","The objective of this test is to see whether the address can be changed. The address is changed to the given test address and then compared. After that, the address is randomized in order to reset the test environment."
"broken","Wed Aug 18 15:43:47 GMT 2021","Wed Aug 18 15:43:48 GMT 2021","137","","WishlistTest","","WishlistTest","addToWishlistTest","Adding a product to wishlist test",""
"broken","Wed Aug 18 15:43:47 GMT 2021","Wed Aug 18 15:43:47 GMT 2021","167","","HomePageTest","","HomePageTest","correctHomePageUrlTest","Website is up and running test",""
"broken","Wed Aug 18 15:43:45 GMT 2021","Wed Aug 18 15:43:46 GMT 2021","640","","LoginPageTest","","LoginPageTest","registrationTest","Automated registration test with randomized data",""
"broken","Wed Aug 18 15:43:47 GMT 2021","Wed Aug 18 15:43:47 GMT 2021","144","","ListScrollTest","","ListScrollTest","listScrollTest","Scrolling through multiple pages test","The objective of this test is to scroll through multiple pages and count how many products are there in the given categories."
"broken","Wed Aug 18 15:43:47 GMT 2021","Wed Aug 18 15:43:47 GMT 2021","163","","TermsAndConditionsTest","","TermsAndConditionsTest","getTermsAndConditions","Find the terms and conditions page test",""
"broken","Wed Aug 18 15:43:46 GMT 2021","Wed Aug 18 15:43:46 GMT 2021","164","","LoginPageTest","","LoginPageTest","loginTest","Login test with a random account and password after a successful registration",""
"broken","Wed Aug 18 15:43:47 GMT 2021","Wed Aug 18 15:43:47 GMT 2021","158","","WishlistTest","","WishlistTest","removeFromWishlistTest","Adding, then removing a product from a wishlist test",""
